fid,neighbourhood,Number of households,Population size,Average household size,sex ratio,population 0-14 yrs old (%),population 15-64 yrs old (%),population 65+ yrs old (%),curaçaoan-born population (%),foreign-born population (%),first generation migrants (%),second generation migrants (%),population with native background (%),population with intention to leave (%),population with intention to stay (%),income_ang,general fertility rate (children per women 15-49),Unemployment rate (%),Participation rate (%),hindrance of air pollution (%),living accommodations in bad condition (%),never married population (%),married population (%),divorced population (%),population living in consensual union (%),neighbourhood area (km²),x,y
217,KUSTBATTERIJ,304,829,2.7,74,20.1,64.8,15.1,83.9,16.1,16.2,22.7,61.1,1.8,56,3405,24,18.7,52.6,7.2,2.6,54.5,24.4,5.2,6.5,,,
218,RECOMPENSA,283,782,2.8,80,18.7,67.1,14.2,78.5,21.5,21.7,13.7,64.6,3.4,56.1,5157,32,8.5,57.2,6.4,4.3,42,33.8,5.5,13.5,,,
219,KWARCHI,234,670,2.9,95,19.7,68.1,12.2,74,26,26,19.9,54,10.7,56,6943,28,7.5,62.3,4.3,3.9,33.3,45.5,5.2,8.6,,,
220,SABANA CRAS,166,450,2.7,89,18.4,66,15.6,85,15,15,9.6,75.4,3.5,73,4313,37,9.7,53.4,9.7,4.3,42.1,32.2,8.2,13,,,
221,LA FAMAWIJK,35,88,2.5,,,,,,,,,,,,,,,,20,5.7,46.4,15.9,5.8,18.8,,,
222,SERU GRANDI (Sabana Baka),213,557,2.6,83,18.7,68.6,12.7,87.5,12.5,12.5,10.1,77.4,1.7,66.2,3890,27,10.9,60.9,10.5,9.6,38.3,34.4,6.7,11.5,,,
223,LABADERA,27,71,2.6,,,,,,,,,,,,,,,,,,18.2,60,5.5,9.1,,,
224,CHRISTOFFEL (geozone),8,40,5,,,,,,,,,,,,,,,,,,38.7,48.4,3.2,3.2,,,
225,WEST GROOT ST. JORIS,10,26,2.6,,,,,,,,,,,,,,,,10,10,20,60,5,15,,,
226,AMERIKANENKAMP (Dulce Esperansa),157,394,2.5,74,17.5,62.9,19.5,76.1,23.9,23.9,25.2,50.9,5.1,68.5,4977,,10.2,57.5,9.6,4.5,37.5,35.9,6,8.9,,,
